,P7,O1,O2,P8,TIME
2245,4597.436,3966.154,3874.872,4309.231,1606508971.9933
2246,4606.667,3972.308,3877.949,4304.615,1606508972.0013
2247,4608.718,3967.692,3888.205,4315.385,1606508972.0091
2248,4600.513,3961.538,3895.897,4327.179,1606508972.0168
2249,4605.641,3977.436,3896.923,4333.846,1606508972.0246
2250,4611.282,3986.154,3890.256,4331.795,1606508972.0323
2251,4602.051,3967.692,3884.615,4325.641,1606508972.0402
2252,4598.462,3953.333,3879.487,4318.462,1606508972.0479
2253,4603.59,3957.436,3876.923,4312.821,1606508972.0557
2254,4601.538,3962.564,3879.487,4315.385,1606508972.0634
2255,4601.538,3962.051,3880.513,4323.59,1606508972.0712
2256,4603.59,3957.436,3875.385,4322.051,1606508972.079
2257,4602.051,3958.462,3873.846,4315.385,1606508972.0868
2258,4601.538,3963.59,3875.385,4312.821,1606508972.0945
2259,4598.462,3957.949,3870.769,4309.231,1606508972.1024
2260,4587.692,3946.154,3867.179,4307.179,1606508972.1102
2261,4578.462,3945.128,3869.231,4306.667,1606508972.1182
2262,4589.231,3960.0,3876.923,4308.205,1606508972.126
2263,4615.897,3975.897,3887.692,4320.513,1606508972.1339
2264,4625.128,3978.974,3888.205,4324.615,1606508972.1417
2265,4604.103,3969.744,3880.0,4310.769,1606508972.1496
2266,4589.744,3961.026,3882.051,4313.333,1606508972.1575
2267,4600.0,3959.487,3885.128,4327.179,1606508972.1654
2268,4608.718,3962.051,3878.974,4322.051,1606508972.1732
2269,4605.641,3966.154,3880.513,4317.436,1606508972.1811
2270,4611.282,3972.308,3890.256,4326.667,1606508972.1889
2271,4616.923,3978.462,3887.692,4326.667,1606508972.1967
2272,4617.436,3982.564,3883.59,4324.615,1606508972.2045
2273,4621.026,3983.077,3893.333,4332.308,1606508972.2122
2274,4617.436,3977.949,3898.462,4330.769,1606508972.22
2275,4606.667,3970.769,3889.744,4322.564,1606508972.2277
2276,4602.051,3963.077,3883.077,4323.077,1606508972.2356
2277,4603.077,3961.538,3882.564,4322.051,1606508972.2433
2278,4604.615,3967.692,3875.897,4307.179,1606508972.2511
2279,4605.128,3966.667,3869.744,4297.436,1606508972.2588
2280,4600.513,3958.974,3870.769,4304.103,1606508972.2666
2281,4591.795,3951.282,3872.308,4303.59,1606508972.2744
2282,4591.795,3945.641,3869.744,4294.359,1606508972.2823
2283,4601.026,3947.692,3868.205,4298.462,1606508972.2901
2284,4607.692,3960.0,3874.359,4311.282,1606508972.298
2285,4602.051,3963.59,3881.026,4309.231,1606508972.3058
2286,4593.846,3956.41,3880.513,4295.385,1606508972.3138
2287,4602.564,3958.974,3878.974,4294.872,1606508972.3216
2288,4608.205,3963.59,3876.923,4300.513,1606508972.3295
2289,4603.077,3965.641,3875.897,4302.051,1606508972.3373
2290,4603.077,3969.231,3880.513,4304.615,1606508972.3452
2291,4607.692,3970.256,3881.538,4307.692,1606508972.3531
2292,4600.0,3963.077,3870.769,4300.0,1606508972.361
2293,4593.333,3957.949,3872.821,4298.974,1606508972.3688
2294,4600.513,3967.179,3884.103,4308.205,1606508972.3765
2295,4598.462,3969.744,3877.949,4301.026,1606508972.3843
2296,4590.769,3958.974,3873.333,4296.41,1606508972.3921
2297,4603.59,3960.0,3888.205,4313.846,1606508972.3999
2298,4617.949,3970.769,3892.821,4320.513,1606508972.4076
2299,4611.282,3969.744,3875.897,4304.103,1606508972.4154
2300,4601.026,3963.59,3870.769,4300.0,1606508972.4231
2301,4597.436,3961.026,3874.359,4305.128,1606508972.431
2302,4600.0,3956.41,3869.744,4300.513,1606508972.4387
2303,4610.769,3964.103,3873.333,4303.59,1606508972.4465
2304,4613.846,3973.846,3879.487,4313.333,1606508972.4542
2305,4600.0,3957.436,3873.333,4310.769,1606508972.4621
2306,4595.897,3948.205,3871.795,4309.231,1606508972.47
2307,4604.103,3965.641,3877.436,4313.333,1606508972.4778
2308,4606.154,3973.333,3875.385,4308.718,1606508972.4855
