,P7,O1,O2,P8,TIME
5624,4633.846,3950.769,3849.231,4318.974,1606956724.3617
5625,4644.615,3954.872,3856.41,4334.872,1606956724.3696
5626,4644.103,3956.41,3857.436,4337.949,1606956724.3775
5627,4643.59,3955.385,3853.333,4329.744,1606956724.3853
5628,4643.077,3948.205,3847.692,4321.026,1606956724.3932
5629,4638.974,3944.103,3846.667,4318.974,1606956724.401
5630,4638.462,3949.744,3850.769,4326.667,1606956724.409
5631,4636.923,3951.795,3850.769,4332.308,1606956724.4168
5632,4630.256,3946.154,3848.205,4327.179,1606956724.4247
5633,4629.744,3950.256,3852.308,4325.641,1606956724.4325
5634,4640.0,3961.026,3855.385,4330.256,1606956724.4402
5635,4642.564,3957.949,3850.256,4331.795,1606956724.4481
5636,4634.359,3944.615,3846.667,4331.795,1606956724.4558
5637,4635.385,3945.128,3847.692,4332.821,1606956724.4636
5638,4641.026,3949.231,3842.564,4324.615,1606956724.4713
5639,4637.949,3943.59,3839.487,4318.974,1606956724.4791
5640,4635.385,3944.103,3842.051,4326.154,1606956724.4869
5641,4642.051,3952.821,3845.641,4333.333,1606956724.4947
5642,4643.59,3952.821,3847.692,4332.821,1606956724.5024
5643,4638.462,3949.231,3848.205,4331.795,1606956724.5102
5644,4639.487,3954.359,3849.231,4332.821,1606956724.5179
5645,4644.103,3957.949,3851.282,4332.308,1606956724.5258
5646,4638.462,3954.359,3851.795,4327.179,1606956724.5335
5647,4632.308,3953.333,3848.205,4323.59,1606956724.5414
5648,4635.897,3953.846,3848.718,4329.231,1606956724.5492
5649,4636.923,3949.231,3851.282,4333.333,1606956724.557
5650,4631.282,3946.667,3849.744,4329.744,1606956724.5648
5651,4623.077,3942.564,3845.128,4323.59,1606956724.5727
5652,4620.0,3935.897,3843.077,4324.103,1606956724.5805
5653,4630.256,3937.436,3846.667,4331.795,1606956724.5884
5654,4644.615,3952.308,3856.41,4342.564,1606956724.5962
5655,4642.051,3956.923,3861.538,4344.615,1606956724.6042
5656,4635.385,3954.872,3862.051,4343.077,1606956724.612
5657,4637.436,3958.974,3865.128,4346.667,1606956724.6199
5658,4638.462,3962.564,3863.59,4346.154,1606956724.6277
5659,4635.897,3957.436,3858.462,4341.538,1606956724.6354
5660,4635.897,3949.744,3855.897,4340.0,1606956724.6433
5661,4631.795,3943.59,3849.744,4332.821,1606956724.651
5662,4628.205,3945.128,3847.179,4327.179,1606956724.6588
5663,4634.359,3951.282,3855.385,4335.897,1606956724.6665
5664,4637.949,3949.231,3856.41,4336.41,1606956724.6743
5665,4636.41,3945.128,3851.282,4327.692,1606956724.6821
5666,4634.872,3945.128,3850.769,4328.205,1606956724.6899
5667,4631.282,3943.59,3849.231,4331.282,1606956724.6976
5668,4633.333,3946.154,3847.692,4329.231,1606956724.7054
5669,4637.949,3952.821,3851.282,4330.256,1606956724.7131
5670,4627.692,3946.154,3847.179,4327.179,1606956724.7211
5671,4621.538,3938.974,3846.667,4327.692,1606956724.7289
5672,4631.795,3945.641,3855.385,4334.359,1606956724.7368
5673,4637.436,3950.256,3853.333,4333.333,1606956724.7446
5674,4636.923,3951.282,3850.769,4333.846,1606956724.7525
5675,4638.462,3955.897,3855.897,4336.41,1606956724.7604
5676,4630.769,3951.282,3849.744,4325.128,1606956724.7683
5677,4622.564,3937.949,3838.462,4316.923,1606956724.7761
5678,4623.59,3936.923,3842.564,4321.538,1606956724.784
5679,4624.615,3946.667,3852.821,4325.128,1606956724.7918
5680,4627.692,3950.769,3857.436,4326.667,1606956724.7998
5681,4631.282,3947.179,3855.897,4331.282,1606956724.8076
5682,4627.179,3945.128,3850.769,4333.333,1606956724.8153
5683,4622.051,3945.128,3848.718,4329.744,1606956724.8231
5684,4624.615,3945.641,3846.154,4322.564,1606956724.8308
5685,4624.103,3942.051,3843.077,4316.41,1606956724.8387
5686,4625.641,3944.103,3848.718,4326.154,1606956724.8464
5687,4631.795,3953.333,3853.846,4335.897,1606956724.8542
5688,4626.667,3950.256,3849.231,4329.231,1606956724.8619
5689,4616.41,3936.41,3842.051,4317.436,1606956724.8697
5690,4617.949,3937.436,3841.538,4316.923,1606956724.8775
5691,4623.59,3943.59,3843.59,4318.974,1606956724.8853
5692,4620.0,3937.436,3841.026,4315.897,1606956724.893
5693,4618.462,3936.41,3842.564,4316.41,1606956724.9009
5694,4623.59,3943.077,3847.692,4318.462,1606956724.9087
5695,4625.641,3946.667,3850.256,4315.385,1606956724.9167
5696,4618.974,3941.538,3843.59,4308.205,1606956724.9245
5697,4607.179,3932.308,3831.795,4302.564,1606956724.9324
5698,4601.538,3927.179,3825.128,4303.59,1606956724.9402
5699,4607.692,3930.256,3830.769,4308.718,1606956724.9481
5700,4612.821,3929.744,3834.872,4308.205,1606956724.956
5701,4611.795,3929.744,3836.41,4306.667,1606956724.9639
5702,4607.692,3931.282,3835.897,4304.103,1606956724.9717
