,P7,O1,O2,P8,TIME
360,4620.513,3980.513,3887.179,4302.564,1606508915.0896
361,4621.026,3981.026,3889.744,4305.641,1606508915.0974
362,4610.256,3978.462,3886.154,4298.462,1606508915.1053
363,4606.154,3975.897,3885.641,4295.897,1606508915.1132
364,4620.0,3981.026,3890.769,4306.667,1606508915.1211
365,4621.026,3987.179,3888.718,4301.538,1606508915.1289
366,4598.462,3974.872,3882.564,4290.256,1606508915.1366
367,4595.385,3967.179,3886.154,4302.564,1606508915.1444
368,4615.897,3979.487,3891.282,4311.282,1606508915.1522
369,4622.051,3984.103,3887.179,4301.026,1606508915.16
370,4611.795,3974.872,3881.026,4293.333,1606508915.1677
371,4606.154,3973.846,3876.923,4287.179,1606508915.1755
372,4598.462,3970.256,3873.846,4278.462,1606508915.1832
373,4594.872,3960.513,3875.897,4284.615,1606508915.1911
374,4599.487,3963.59,3875.385,4286.154,1606508915.1988
375,4593.333,3966.667,3871.282,4271.282,1606508915.2066
376,4589.744,3955.897,3875.897,4275.897,1606508915.2143
377,4603.59,3953.333,3883.59,4296.41,1606508915.2221
378,4607.692,3958.462,3878.974,4297.436,1606508915.2299
379,4596.923,3963.077,3875.385,4286.154,1606508915.2378
380,4597.949,3971.795,3877.949,4281.538,1606508915.2456
381,4599.487,3968.205,3874.359,4277.436,1606508915.2535
382,4595.385,3959.487,3874.872,4278.462,1606508915.2613
383,4607.179,3971.282,3881.538,4285.641,1606508915.2693
384,4612.821,3972.308,3875.897,4281.026,1606508915.2771
385,4597.949,3946.154,3863.59,4271.282,1606508915.285
386,4596.41,3943.59,3864.615,4274.872,1606508915.2928
387,4612.821,3972.308,3873.333,4287.692,1606508915.3007
388,4614.872,3974.359,3878.974,4290.256,1606508915.3086
389,4596.923,3953.846,3877.436,4280.513,1606508915.3163
390,4591.795,3960.0,3880.513,4285.128,1606508915.3241
391,4613.846,3984.103,3889.744,4302.051,1606508915.3318
392,4632.308,3989.231,3891.282,4307.179,1606508915.3396
393,4623.59,3979.487,3889.744,4307.179,1606508915.3474
394,4612.821,3972.308,3891.282,4309.744,1606508915.3552
395,4607.179,3967.179,3888.205,4300.513,1606508915.3629
396,4602.051,3970.256,3884.103,4293.846,1606508915.3707
397,4611.795,3981.026,3887.692,4304.103,1606508915.3784
398,4626.667,3986.154,3884.615,4306.154,1606508915.3864
399,4628.205,3985.641,3885.641,4298.462,1606508915.3942
400,4625.128,3984.615,3901.538,4303.59,1606508915.402
401,4630.256,3991.282,3905.128,4317.949,1606508915.4097
402,4630.256,3996.41,3894.872,4321.538,1606508915.4176
403,4618.462,3991.282,3892.821,4316.41,1606508915.4255
404,4617.949,3988.718,3897.949,4319.487,1606508915.4334
405,4624.103,3986.667,3897.436,4326.154,1606508915.4412
406,4612.821,3972.308,3894.872,4322.051,1606508915.4491
407,4617.436,3981.538,3902.564,4322.051,1606508915.4569
408,4646.667,4011.795,3911.282,4329.744,1606508915.4649
409,4646.667,4010.256,3909.231,4325.128,1606508915.4727
410,4616.923,3983.077,3893.846,4308.205,1606508915.4806
411,4602.051,3967.179,3877.949,4297.949,1606508915.4884
412,4612.821,3969.231,3878.974,4296.923,1606508915.4961
413,4629.744,3981.026,3884.615,4298.462,1606508915.504
414,4618.974,3976.41,3875.385,4295.897,1606508915.5117
415,4596.923,3961.538,3867.692,4290.769,1606508915.5195
416,4610.769,3973.333,3884.103,4298.974,1606508915.5272
417,4624.615,3990.256,3895.897,4312.821,1606508915.535
418,4620.513,3984.103,3891.282,4317.436,1606508915.5428
419,4625.641,3979.487,3886.154,4312.308,1606508915.5506
420,4626.667,3984.103,3880.0,4306.154,1606508915.5583
421,4618.462,3983.077,3882.051,4306.154,1606508915.5661
422,4619.487,3983.077,3888.205,4302.564,1606508915.5738
423,4609.231,3981.026,3876.41,4286.154,1606508915.5818
424,4592.821,3968.718,3865.641,4284.615,1606508915.5896
425,4604.615,3965.128,3882.051,4308.205,1606508915.5975
426,4627.179,3977.436,3895.897,4318.462,1606508915.6053
427,4628.718,3985.641,3888.718,4309.744,1606508915.6132
428,4619.487,3981.538,3885.128,4310.769,1606508915.6211
429,4618.462,3980.513,3889.744,4317.436,1606508915.629
430,4627.179,3991.282,3891.282,4315.897,1606508915.6368
431,4628.718,3995.385,3888.718,4311.795,1606508915.6447
432,4626.154,3990.769,3887.179,4309.744,1606508915.6525
433,4624.103,3988.205,3888.205,4308.205,1606508915.6605
434,4602.564,3979.487,3884.103,4303.59,1606508915.6683
435,4593.333,3970.256,3883.077,4304.615,1606508915.676
436,4624.615,3982.051,3889.231,4311.795,1606508915.6838
437,4633.333,4000.0,3890.256,4308.205,1606508915.6915
438,4611.282,3991.282,3891.282,4309.744,1606508915.6994
439,4620.0,3980.513,3906.154,4335.385,1606508915.7071
440,4631.282,3982.564,3906.667,4336.923,1606508915.7149
441,4612.821,3980.513,3884.103,4306.154,1606508915.7226
442,4614.872,3980.513,3881.026,4301.538,1606508915.7304
443,4627.692,3985.128,3892.821,4313.333,1606508915.7382
444,4615.897,3987.179,3889.231,4308.718,1606508915.746
445,4611.795,3986.667,3886.667,4311.282,1606508915.7537
446,4622.564,3980.0,3894.359,4320.513,1606508915.7616
